,22RV1,647-V,A549,BFTC-905,BT-20,BT-474,BT-549,C32,CAL-120,CAL-148,CAL-51,Calu-3,Calu-6,CAMA-1,COLO-205,DMS-114,DU-4475,EVSA-T,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC1500,HCC1569,HCC1806,HCC1937,HCC1954,HCC38,HCC70,HCT-116,Hs-578-T,HT-1197,HT-1376,HT-29,J82,KATOIII,KMS-11,KU-19-19,LS-513,M14,MCF7,MDA-MB-157,MDA-MB-175-VII,MDA-MB-231,MDA-MB-361,MDA-MB-415,MDA-MB-436,MDA-MB-453,MDA-MB-468,MFM-223,NCI-H1299,NCI-H1437,NCI-H1563,NCI-H1703,NCI-H1793,NCI-H1975,NCI-H2085,NCI-H2170,NCI-H2228,NCI-H226,NCI-H2291,NCI-H23,NCI-H3122,NCI-H358,NCI-H520,NCI-H522,NCI-H747,NCI-H838,NCI-SNU-16,RKO,RT4,SW48,SW620,SW780,SW837,SW900,SW948,T-24,T47D,TCCSUP,UACC-812,UM-UC-3,VCaP,VM-CUB-1
22RV1,0,140.132047883453,169.240464599089,174.435280689866,173.172135361018,229.756707276699,206.788662401639,106.008363746229,282.649204045265,103.23014257363,76.7941293599334,236.972544511106,146.902769570481,120.879216880122,262.600499921285,232.585846217639,350.056121856459,204.229750718624,295.091422809045,178.398004153617,186.341062228428,331.990901904914,317.923302224713,133.745942962266,210.471949689228,146.003318688693,400.290602303398,439.907841180915,125.23556944212,404.098348476224,83.9732924717927,161.404170297816,240.069079785978,525.153151339967,219.797122064989,303.949901268596,307.576870063083,234.401953578231,253.626571685539,85.417023444759,199.566196759139,212.643611814504,235.342468496185,326.44056658844,183.308475056531,191.046142086475,201.751913137111,239.314829168228,419.048722671148,224.625625720445,216.684162638219,529.174606527408,210.487956546079,314.93843108038,129.394895635979,246.837065721438,220.472371715564,159.159935502273,620.73690426624,338.431983553974,85.7442377878833,188.397918788199,207.68677560186,361.546362847302,148.019361277783,445.668185616828,158.353244352155,201.619450716449,139.546134453936,319.929263662601,93.1117196581974,317.630687652299,83.8436508854895,106.03738988474,299.213314890319,122.16459678492,143.817168617265,213.811056893883,281.763838386527,188.282663613078,209.025180298239,235.600296082183,262.136904268236,256.638402537072,93.0805989885913
647-V,140.132047883453,0,159.678009241488,168.828278168921,151.911024409918,212.662281492761,189.291974106321,166.57403376921,245.249750308259,149.869465194469,143.391583906269,202.611596605752,154.155690960836,169.277228849924,225.046038285972,200.430096792123,305.223085979655,185.199544189382,256.28805536075,164.083006713155,188.663869130226,297.450020159621,284.465883585863,210.678305310412,183.107739336135,156.064126494901,346.367348420705,387.029967405396,183.032005749302,348.408988129536,144.982594167634,152.48423596155,212.736836700605,468.063767745205,184.972158070398,255.549005858591,258.370715129279,219.123536458642,233.739301036774,142.232750473007,172.66637710413,198.327594998061,209.425949294387,285.721556427656,153.685261206563,179.014810903159,182.778958205071,217.889221355111,374.744184661678,191.811554026436,221.074215554581,482.844846588061,189.190006595032,267.268913978417,141.27369851087,220.551968075721,193.963064072559,159.651405127482,564.604857268608,293.699227222931,156.131536790497,191.176460372922,177.988841857839,319.762297085255,138.84659650848,398.869695971268,145.711758777551,179.414098873352,163.370606760199,273.419973468877,149.782755691894,277.364223653211,141.888907651926,137.656985869506,253.243763307107,182.120386036077,158.332712954528,190.240591626184,238.655103837749,180.050997179663,180.481047956374,207.230549632484,232.752352609619,228.890861811878,152.909796924169
A549,169.240464599089,159.678009241488,0,164.111129367854,177.56611561107,203.496047743015,202.369918737023,187.818219168548,229.666141660556,175.985466701569,176.122964717601,175.071212725183,141.118041210452,197.23872644705,208.467252219211,185.27620739377,265.612603440594,182.707918988116,224.38451202327,178.165475588045,179.200922131121,269.709982337376,238.27484402233,241.705275827857,178.493207205884,188.577125793053,308.634576997854,353.21722081505,212.844150296508,321.696882154647,169.391719619975,170.848744020678,182.412564012671,435.801141223837,149.320890281402,244.530857609994,221.467469020383,183.448406952887,198.870896659707,164.841398701298,157.712112683535,177.566737038514,184.645930711135,239.611565254451,156.746928548614,171.647580413605,172.42402428022,211.339788536568,332.795777426021,196.895359087982,224.5446905948,433.897422910021,168.769004635302,226.348015585148,172.412865912913,175.054736371068,183.715974109397,147.670601613884,510.210756198588,256.604863479358,182.316955370284,163.990807704195,170.233260374786,287.559171350473,142.754739727777,352.379829208708,154.606579036928,152.547624698045,172.924496244366,236.073511258896,167.224924372081,217.429405336939,167.616637271126,159.588493881569,198.197617922509,203.447175655282,157.577900143721,168.700925522395,204.911881885006,174.108769552105,162.190659927278,204.781729056668,192.965435064105,191.91910514686,183.948200565939
BFTC-905,174.435280689866,168.828278168921,164.111129367854,0,177.457651649722,201.091977816533,193.80012839797,188.469466012806,231.239742684113,182.571806144219,177.523299951484,193.503304353179,154.920624079805,194.242956071633,218.88481021381,191.063823425277,277.451500983893,178.442967029803,232.578791083418,180.825578611128,165.241592737348,268.754102097638,250.819233686088,234.640489840631,172.624388446985,176.716197443329,307.70518414727,365.677624131753,215.80537608005,320.865982101261,172.920727807614,161.607406193599,189.806102369699,431.635102064164,175.243724788084,240.683117011688,238.480465247219,203.27824088472,190.814124609851,172.769761711857,159.984802256101,183.50364289632,206.221469245659,260.640764758235,154.356563149576,169.079000249882,176.942138184299,206.266686005948,335.560152242137,184.657105680627,223.497325065537,436.187419779688,169.618452343074,244.895436168087,169.736178761779,187.889680767225,173.246308959762,170.223521768429,536.313464431037,256.681016588401,191.430407659664,165.03046414345,152.837888153071,288.296976322832,140.607073863905,347.233134785923,153.887086894486,172.348339997617,174.229632441212,239.259737056339,168.97496444929,252.195326277397,167.669373989465,160.346120977406,232.729705415746,206.036372261165,161.607890428978,189.338865058147,215.930321040254,168.14451219805,170.10763982095,211.815064907665,196.053133530216,207.908949402075,172.500582924463
BT-20,173.172135361018,151.911024409918,177.56611561107,177.457651649722,0,217.398911110217,196.485339943032,183.444574840593,249.335464518675,169.086770130867,162.327176928145,212.197342944281,164.460974325752,179.946638124188,235.153344136284,223.155435683706,296.04700313967,190.144222785343,256.182168570435,183.56797555124,191.395798165211,291.273543691609,280.789850377851,231.59658336463,185.850491186718,179.471990847092,338.404550691893,376.068273634005,197.296216766267,340.004608777941,166.600443126284,162.750568244068,223.224726584065,461.029694470555,182.383868302928,262.755239374282,259.112180160282,221.735269320239,210.098914258462,160.288491614481,173.106994840651,208.271023150125,208.613724141656,275.46147470147,161.436237191914,193.457578633681,195.371502061164,214.919045344482,365.888586182694,192.637353884765,230.878402689798,475.415773880858,189.837203451388,279.296551330945,171.150854098037,201.282916406781,202.682846114196,177.427593871737,556.054391349719,286.032955181588,185.259250197586,182.251082484814,171.889491870578,318.784735958976,149.846867097367,390.250437993551,171.650075749985,180.973644159589,164.433897072764,269.615741930951,157.964121584658,287.519394701864,159.832131213926,151.355184346001,253.867983556419,193.443077614697,172.831566848628,174.878536775376,232.406709661307,193.824719201134,194.607157777164,226.196044563633,242.077159910709,233.997422315569,172.986479780954
BT-474,229.756707276699,212.662281492761,203.496047743015,201.091977816533,217.398911110217,0,239.982619797711,239.736229016835,259.658240138792,224.8667802495,233.040722575108,213.585277618219,208.893255024848,245.381779284498,254.828774742506,234.163051892275,301.907857253332,212.821306013354,267.954294154182,226.965473407903,218.994340797379,265.648555487356,263.254686245373,279.423748970242,210.929515049246,231.687246085232,329.017686657009,363.496807964807,263.914322408143,338.391244869896,228.495111193013,210.629831818779,237.870147157694,446.663832996676,217.119540869381,269.951222265892,264.057068740954,229.106533199475,237.808563470583,226.97803286128,216.400424790693,218.90944338678,233.35887150565,274.21134336686,196.937295442425,199.090735097262,232.074158472164,249.981981367048,349.458736691647,230.424022878558,257.752589893007,448.673558698416,220.039242702057,264.587272234319,225.487084479244,221.905745497046,217.021956319722,206.613349213342,531.686432810941,283.56707624633,243.335178586934,219.680554702441,205.030546447167,316.382747275231,202.811501100221,384.108098299265,209.568531140374,220.062751919951,218.570724575424,270.138898152596,223.399196026918,276.7738488251,224.019075174599,221.531260362054,256.4356222058,255.842658121199,218.539769635176,218.92301685813,248.676299123678,212.825408125605,222.361935512435,228.140869758717,244.494877143032,237.860663719396,231.546010523791
BT-549,206.788662401639,189.291974106321,202.369918737023,193.80012839797,196.485339943032,239.982619797711,0,226.407556264397,232.420475736983,206.879242111062,214.168131582953,214.987528102962,187.195973293221,228.871844588796,219.215108349821,198.827554482322,253.876478472429,187.250924675646,231.021305236925,160.983603108425,192.377698571777,260.552780134552,284.592123929419,278.707658915557,178.619729553692,212.086867567722,291.70927756845,340.475948309242,258.096560736205,300.530086094916,213.961046979291,158.040113638436,197.478113997422,397.427073528791,191.327392068474,218.216411160154,230.891279866339,210.601411796059,213.077498689469,184.105276533123,163.464372452414,212.106773097635,201.102283640516,258.738859719303,177.709901431408,225.625212842545,206.094241511391,202.662451818972,329.026292928275,176.147149494619,260.191572162957,418.541915817458,211.228520075605,249.091320062394,179.743694510714,195.956750131097,212.123072784728,179.009604436554,510.851126246902,261.436570066597,235.157076042608,189.366060289785,198.777300951379,292.993937986601,176.072567883506,343.747464255541,185.844327785847,171.047421019673,210.149016369751,243.707833741056,199.067076794536,253.18872125896,206.359303880158,201.44732254667,232.707075345253,245.491271013984,186.270652350084,199.569615284678,207.149107957319,195.644451476617,164.734515770687,224.175679120868,190.191066815361,212.621512960778,220.576853214524
C32,106.008363746229,166.57403376921,187.818219168548,188.469466012806,183.444574840593,239.736229016835,226.407556264397,0,297.361973104892,119.614000178409,105.8550408889,252.082221046672,162.864464253224,125.695174616972,273.887859356659,245.409017794556,354.387790775123,203.751163447872,309.924239559306,190.033658658422,180.848704834758,346.42727098513,327.00320475574,151.71000293997,215.92282450466,169.717772057399,408.133054771383,446.66030294523,143.807904816351,403.924722545803,110.624294031888,168.77010879062,258.196333910913,532.047212012447,225.384070475298,316.528857181324,310.820964754714,235.976341697775,265.637525009099,104.394898510652,203.569191074419,213.351767203739,243.764856849879,330.101284156874,191.230472287022,212.588574656996,210.056438088998,244.888725871926,427.803769718788,235.436290749787,235.296358983469,536.136397949752,227.257902366945,329.535575495177,144.492945781487,259.443974865982,219.062086057093,165.106782381841,620.052288827857,355.678741204192,119.96523340894,192.1591043237,213.162386577797,371.199772618881,167.47185458904,456.651444974467,170.457448564394,220.019709088625,157.642403005028,320.842592229095,105.593055933268,331.086591907106,99.0408616599064,124.404211179842,315.437760265067,142.571916578228,167.09494209535,219.66216602398,295.301633340565,217.871539796646,221.526267405448,254.310567260017,275.679038611821,266.326981331265,116.775626821326
CAL-120,282.649204045265,245.249750308259,229.666141660556,231.239742684113,249.335464518675,259.658240138792,232.420475736983,297.361973104892,0,284.472573808768,285.542587742131,224.639087147795,238.425449696402,299.509613816266,256.085551271457,227.650147456549,278.265672440577,219.468991109282,233.323719092803,243.335284124396,245.35528370211,266.670902871117,256.001872170041,336.768343778809,222.149528017765,258.178522952742,277.353438551355,333.553753484819,315.830098325871,311.420887616775,281.235573322268,235.732727578588,219.441854260475,376.471022877483,212.358515967431,229.958873900165,239.174712110265,229.994356446303,227.325113876405,277.141188340183,206.340277399785,248.36058421064,239.20174064661,271.709380011863,206.895650829275,246.826606364659,244.607999386321,254.935950210987,314.908875609511,233.080361244169,281.96976696336,387.409943428753,231.814735324421,237.800477609822,252.871174996559,209.793628258381,240.261117784368,234.366713152573,475.777486822456,252.066235991,297.047037225517,230.350414690601,219.792620524671,297.075495989011,228.742402911544,318.78042815425,227.352596682396,217.823714732546,259.662418110334,250.737169353665,275.032141194228,240.628895484539,276.918590900171,263.374287937258,224.973122434018,302.245050844996,245.401919244269,246.039101637354,215.987342483491,241.682550649807,212.31185430549,265.82418252814,207.179076653126,228.590657260543,291.969103641047
CAL-148,103.23014257363,149.869465194469,175.985466701569,182.571806144219,169.086770130867,224.8667802495,206.879242111062,119.614000178409,284.472573808768,0,97.9450022419652,237.909438716331,162.33092984249,129.295771600193,262.43418193137,223.396281304604,324.047941560182,198.538413245168,292.939983040257,163.810125804117,186.045698610286,334.017157364333,306.873575402611,155.260230438411,198.99202267632,160.404894007119,396.129330569753,426.172003559838,137.329779450917,390.094026873093,111.530503818235,170.881878887544,253.9747902898,515.360649958769,210.711854864434,305.902738625604,301.694506123445,221.14513106855,258.06852843672,107.723823157058,200.511579127903,215.341060619722,215.083551414074,304.482002988416,173.435966986266,200.739967193293,197.668162263181,230.300746789304,405.949629802344,215.78522346393,205.850862285853,529.70160910708,208.345514679818,316.249159147443,138.362713335968,246.449512128831,210.104683275128,167.228118023881,608.449940734443,325.92178971444,125.935924283236,197.94732632763,199.149640233422,355.867659707216,158.483374777257,441.404108188255,156.352605122464,199.261997205057,153.864904069978,310.524024144734,104.961221416045,326.297480422263,94.0045403832628,120.779527447678,291.412908997371,134.076634051357,152.721905474652,200.269826574091,276.35529156177,188.32939802647,211.419189821928,221.892668297175,268.83023934484,261.801259511295,121.621524487888
