,22RV1,647-V,A549,BFTC-905,BT-20,BT-474,BT-549,C32,CAL-120,CAL-148,CAL-51,Calu-3,Calu-6,CAMA-1,COLO-205,DMS-114,DU-4475,EVSA-T,HCC1143,HCC1187,HCC1395,HCC1419,HCC1428,HCC1500,HCC1569,HCC1806,HCC1937,HCC1954,HCC38,HCC70,HCT-116,Hs-578-T,HT-1197,HT-1376,HT-29,J82,KATOIII,KMS-11,KU-19-19,LS-513,M14,MCF7,MDA-MB-157,MDA-MB-175-VII,MDA-MB-231,MDA-MB-361,MDA-MB-415,MDA-MB-436,MDA-MB-453,MDA-MB-468,MFM-223,NCI-H1299,NCI-H1437,NCI-H1563,NCI-H1703,NCI-H1793,NCI-H1975,NCI-H2085,NCI-H2170,NCI-H2228,NCI-H226,NCI-H2291,NCI-H23,NCI-H3122,NCI-H358,NCI-H520,NCI-H522,NCI-H747,NCI-H838,NCI-SNU-16,RKO,RT4,SW48,SW620,SW780,SW837,SW900,SW948,T-24,T47D,TCCSUP,UACC-812,UM-UC-3,VCaP,VM-CUB-1
22RV1,0,0.954081632653061,0.965316234334013,0.94845908607864,0.958569807037457,0.932858837485172,0.980635400907716,0.972230174634984,0.982822085889571,0.943782383419689,0.937054339808212,0.971259259259259,0.97663271420012,0.963045912653975,0.975330926594465,0.967610154654217,0.9648033126294,0.941640378548896,0.981840566328101,0.989052236471692,0.966308451931455,0.972535414859786,0.968954713756764,0.979615952732644,0.906280763929907,0.967322151532678,0.9875,0.987918215613383,0.987577639751553,0.973606168446026,0.88578167115903,0.974604123095309,0.975392825378002,0.96,0.959235310655046,0.976495726495726,0.947821549699974,0.937467965146079,0.958900305470703,0.970162481536189,0.918316315899146,0.964366515837104,0.974219421369235,0.967208440262332,0.959844918305179,0.921669270252176,0.964961853630969,0.970873786407767,0.93956727182293,0.962715637173066,0.970792365529208,0.96,0.967198581560284,0.946327683615819,0.95531914893617,0.916630004399472,0.966200466200466,0.962994836488812,0.968323161871549,0.974676089517079,0.986115396482567,0.937434002111932,0.924417235695785,0.97273526824978,0.924934880416765,0.971826895149579,0.975820895522388,0.978195937873357,0.957336956521739,0.962994836488812,0.886658235852039,0.97493961352657,0.884265734265734,0.956084656084656,0.97759187331939,0.97840875480627,0.961666666666667,0.958622604831991,0.972776769509982,0.981692677070828,0.95148095909732,0.96207986210859,0.969496402877698,0.980102502261079,0.95899222728491
647-V,0.954081632653061,0,0.969301611665388,0.954626865671642,0.957977207977208,0.954358740301232,0.961572832886506,0.975555555555556,0.977880184331797,0.954723309111235,0.963761018609207,0.973214285714286,0.977157360406091,0.967586206896552,0.964594127806563,0.972993827160494,0.956416464891041,0.957593123209169,0.989908256880734,0.985148514851485,0.972644376899696,0.961449498843485,0.971615720524017,0.987002437043054,0.950799122532122,0.972117558402411,0.977227722772277,0.975845410628019,0.993307839388145,0.954128440366973,0.952211126961484,0.969722455845248,0.973705834018077,0.96958174904943,0.954545454545455,0.970350404312669,0.957762557077626,0.961435457953937,0.971314209472982,0.971037811745776,0.951142355008787,0.968816442239546,0.974626865671642,0.963369963369963,0.941216678058783,0.953349282296651,0.95702005730659,0.962109955423477,0.953713123092574,0.956074124914207,0.96793893129771,0.960826210826211,0.971246006389776,0.95364238410596,0.954434993924666,0.948142414860681,0.958041958041958,0.972262773722628,0.963734567901235,0.960032626427406,0.976280834914611,0.952161383285303,0.952528837622005,0.968998410174881,0.952872531418312,0.960218408736349,0.967959527824621,0.973795435333897,0.963763509218055,0.962417096536478,0.953699697100822,0.986348122866894,0.955988997249312,0.959305804907241,0.975548060708263,0.9719703215169,0.954948805460751,0.97406914893617,0.978522336769759,0.974048442906574,0.957902001380262,0.96996336996337,0.962235649546828,0.97292576419214,0.964175416924027
A549,0.965316234334013,0.969301611665388,0,0.966936076414401,0.970534069981584,0.966542750929368,0.985093167701863,0.971258671952428,0.974496644295302,0.972371967654987,0.972737819025522,0.977777777777778,0.966507177033493,0.971428571428571,0.973557692307692,0.976116303219107,0.965065502183406,0.95014245014245,0.990654205607477,0.994082840236686,0.982828282828283,0.982741116751269,0.97799043062201,0.986516853932584,0.96945778997941,0.985059760956175,0.985250737463127,0.990112994350282,0.984218077474892,0.980941704035874,0.962717058222676,0.975552968568102,0.975056689342404,0.978766430738119,0.977777777777778,0.978316326530612,0.975795297372061,0.966947504860661,0.983007646559048,0.969094922737307,0.961023622047244,0.962616822429907,0.983201581027668,0.981921979067555,0.964746345657782,0.968792401628223,0.968430826369545,0.968627450980392,0.976076555023923,0.974716652136007,0.973496432212029,0.968518518518519,0.95916114790287,0.968063872255489,0.963074604370761,0.968260869565217,0.974253347064882,0.971953578336557,0.974306269270298,0.962053571428571,0.98478561549101,0.951601423487545,0.958677685950413,0.985074626865672,0.969414204250907,0.976165803108808,0.967097532314924,0.98481308411215,0.965378421900161,0.971953578336557,0.968297725706409,0.986778846153846,0.969321851453176,0.968171724648409,0.97887323943662,0.959630911188005,0.971379011274935,0.976068376068376,0.976969696969697,0.975639464068209,0.967198581560284,0.969902912621359,0.964788732394366,0.984107579462103,0.975384615384615
BFTC-905,0.94845908607864,0.954626865671642,0.966936076414401,0,0.961904761904762,0.955634427684117,0.979166666666667,0.969351389878831,0.983521248915872,0.954004329004329,0.956417624521073,0.976887519260401,0.968369829683698,0.976377952755906,0.973148901545972,0.976505139500734,0.973504920514762,0.959646213377557,0.979842243645925,0.986964618249534,0.970160116448326,0.970051132213294,0.974287699791522,0.96769109535067,0.948520345252774,0.969675090252708,0.98046511627907,0.979090909090909,0.991869918699187,0.969483568075117,0.950950481107721,0.96379726468222,0.991544965411222,0.961932650073206,0.972295514511873,0.975423728813559,0.964364035087719,0.955114822546973,0.969833119383825,0.967692307692308,0.943114810960805,0.975708502024291,0.973571428571429,0.970034843205575,0.963344051446945,0.951638065522621,0.962431693989071,0.963068181818182,0.953086419753086,0.953764861294584,0.97389412617839,0.95467032967033,0.959167950693374,0.955756929637527,0.96037296037296,0.955296769346356,0.965364775239499,0.966994382022472,0.9654157468727,0.966795366795367,0.99027409372237,0.944444444444444,0.945628534145281,0.978978978978979,0.950963222416813,0.966691339748335,0.972044728434505,0.977582065652522,0.956869993838571,0.968443197755961,0.952085561497326,0.986223662884927,0.952027695351138,0.96078431372549,0.97514033680834,0.96769109535067,0.959530026109661,0.964539007092199,0.969547325102881,0.978740801308258,0.965811965811966,0.96476391825229,0.969153515064562,0.978565539983512,0.95933014354067
BT-20,0.958569807037457,0.957977207977208,0.970534069981584,0.961904761904762,0,0.963371801304566,0.968061674008811,0.976127320954907,0.979214780600462,0.952896244430299,0.959273527793066,0.978388998035363,0.97286012526096,0.981585268214572,0.971488912354805,0.977818853974122,0.969111969111969,0.957488554610857,0.969411764705882,0.983481575603558,0.963201471941122,0.973467520585544,0.963350785340314,0.974924774322969,0.954469367258118,0.971093044263776,0.975918884664132,0.98046398046398,0.992700729927007,0.963746223564955,0.958924570575056,0.969072164948454,0.9800796812749,0.963302752293578,0.975806451612903,0.970949720670391,0.95359477124183,0.969332531569453,0.977484472049689,0.979670861568248,0.955319954562666,0.966386554621849,0.966726618705036,0.963414634146341,0.967238689547582,0.955158902916848,0.956779661016949,0.96830985915493,0.971364402021336,0.967330677290837,0.963201471941122,0.961279461279461,0.9619140625,0.960174237710019,0.953114065780266,0.962114904246461,0.965708989805375,0.95862676056338,0.95903165735568,0.96551724137931,0.982121573301549,0.960861056751468,0.952941176470588,0.98292220113852,0.956435643564356,0.958646616541353,0.978527607361963,0.975129533678756,0.963864306784661,0.961369622475856,0.956315074694432,0.985247629083245,0.963798530954879,0.96514012303486,0.975155279503106,0.963488843813387,0.962668784749801,0.967084639498433,0.980972515856237,0.981991525423729,0.960355987055016,0.982773471145564,0.968581687612208,0.962922573609597,0.963597430406852
BT-474,0.932858837485172,0.954358740301232,0.966542750929368,0.955634427684117,0.963371801304566,0,0.98094688221709,0.973643410852713,0.973005398920216,0.947659574468085,0.936644505279625,0.978118161925602,0.973952434881087,0.966535433070866,0.980192416525184,0.970181043663472,0.974025974025974,0.947414167753151,0.983293556085919,0.988191423244251,0.966155473294553,0.979057591623037,0.97613001523616,0.975636766334441,0.944429601923591,0.976054138469547,0.984481688392303,0.98535692495424,0.986536107711138,0.980230642504119,0.924431086303134,0.973610331274565,0.979051819184124,0.973794549266247,0.957256461232604,0.97719298245614,0.958404802744425,0.954769736842105,0.957725947521866,0.973827699018539,0.930849478390462,0.957974683544304,0.977237454733575,0.967774936061381,0.956858943286476,0.938856015779093,0.959575543203638,0.969603297269449,0.953991348800629,0.965416463711641,0.972674724119811,0.965897693079238,0.965536105032823,0.954393305439331,0.962036623492631,0.933868378812199,0.966507177033493,0.967659137577002,0.969279661016949,0.968698517298188,0.985524728588661,0.95781317262161,0.9418064976794,0.974082073434125,0.944644140905823,0.971307120085016,0.977043673012318,0.979786636720943,0.958002799813346,0.961260330578512,0.929752066115702,0.989847715736041,0.931574239713775,0.963258078795927,0.96763202725724,0.972792892837313,0.958516349438751,0.966779008184882,0.982973893303065,0.982366325369738,0.97277588721439,0.964966512107161,0.964379256155055,0.978173463526709,0.963636363636364
BT-549,0.980635400907716,0.961572832886506,0.985093167701863,0.979166666666667,0.968061674008811,0.98094688221709,0,0.978545887961859,0.989601386481802,0.973262032085562,0.980769230769231,0.964985994397759,0.966717095310136,0.970307529162248,0.98030303030303,0.981012658227848,0.984105960264901,0.980283911671924,0.978685612788632,0.971134020618557,0.978986402966625,0.981389578163772,0.974566473988439,0.988779803646564,0.973818181818182,0.975550122249389,0.975757575757576,0.984790874524715,0.984585741811175,0.973201692524683,0.976799367255471,0.970544918998527,0.984550561797753,0.976543209876543,0.972428419936373,0.971807628524046,0.975571315996848,0.976828385228096,0.984,0.986541049798116,0.975406419341392,0.977997799779978,0.981992797118848,0.986316989737742,0.977,0.972589329417523,0.967813540510544,0.972877358490566,0.975919732441472,0.98157625383828,0.973913043478261,0.975850713501647,0.97442799461642,0.979135618479881,0.968938740293356,0.973782771535581,0.976130653266332,0.979166666666667,0.97747183979975,0.978171896316507,0.979704797047971,0.96722621902478,0.973713646532439,0.973368841544607,0.971542401821286,0.973282442748092,0.97953216374269,0.977711738484398,0.95947219604147,0.975609756097561,0.979881656804734,0.993920972644377,0.97586303676677,0.975506756756757,0.980769230769231,0.98019801980198,0.970286885245902,0.971688574317492,0.986238532110092,0.976744186046512,0.97286012526096,0.980301274623407,0.969623329283111,0.985959438377535,0.98141592920354
C32,0.972230174634984,0.975555555555556,0.971258671952428,0.969351389878831,0.976127320954907,0.973643410852713,0.978545887961859,0,0.984848484848485,0.970394736842105,0.968678815489749,0.983050847457627,0.989944134078212,0.976824034334764,0.973593570608496,0.984158415841584,0.977225672877847,0.963013698630137,0.98469387755102,0.991596638655462,0.978536585365854,0.989330746847721,0.973123262279889,0.972737186477645,0.966723259762309,0.978784956605593,0.97029702970297,0.990641711229946,0.983695652173913,0.975161987041037,0.963356077836745,0.968609865470852,0.980561555075594,0.967551622418879,0.974137931034483,0.986746987951807,0.974376264329063,0.972327044025157,0.97344398340249,0.980104712041885,0.955148205928237,0.970456580125336,0.977033492822966,0.977900552486188,0.980327868852459,0.96797153024911,0.959312839059674,0.965909090909091,0.970017636684303,0.981574539363484,0.980525803310613,0.976950354609929,0.968520461699895,0.968891769280622,0.962637362637363,0.963487972508591,0.979310344827586,0.960414703110273,0.970238095238095,0.97571277719113,0.988235294117647,0.959422283356259,0.968389362769694,0.977319587628866,0.971602434077079,0.972,0.984530386740331,0.99,0.968068535825545,0.972998137802607,0.96173235563703,0.986222732491389,0.968824940047962,0.957090909090909,0.987764182424917,0.970491803278689,0.97319932998325,0.981069958847737,0.989714285714286,0.982678983833718,0.968321917808219,0.97294776119403,0.971126082771896,0.984848484848485,0.973053892215569
CAL-120,0.982822085889571,0.977880184331797,0.974496644295302,0.983521248915872,0.979214780600462,0.973005398920216,0.989601386481802,0.984848484848485,0,0.975396825396825,0.990144546649146,0.973053892215569,0.975609756097561,0.975446428571429,0.978583196046129,0.972677595628415,0.984352773826458,0.971807628524046,0.970414201183432,0.979405034324943,0.981554677206851,0.969127516778523,0.987864077669903,0.983257229832572,0.979358643568006,0.976531942633638,0.977477477477477,0.985232067510548,0.993630573248408,0.969465648854962,0.983536909187467,0.981072555205047,0.989441930618401,0.972185430463576,0.978818283166109,0.976534296028881,0.991915925626516,0.985831469052946,0.975531914893617,0.98989898989899,0.979202037351443,0.980209545983702,0.985969387755102,0.984204131227218,0.978947368421053,0.977511244377811,0.979045401629802,0.971069182389937,0.977869986168741,0.978308026030369,0.976158940397351,0.986175115207373,0.984240687679083,0.983796296296296,0.973944294699012,0.982397716460514,0.979919678714859,0.980319803198032,0.979973297730307,0.979472140762463,0.987854251012146,0.982758620689655,0.983456930975471,0.984441301272984,0.979045401629802,0.983827493261456,0.976190476190476,0.977455716586151,0.978620019436346,0.979064039408867,0.981335247666906,0.988372093023256,0.981591617105636,0.984238178633975,0.990476190476191,0.970724191063174,0.96969696969697,0.980972515856237,0.974789915966387,0.962393162393162,0.981400437636761,0.985276073619632,0.983375959079284,0.977739726027397,0.987084870848708
CAL-148,0.943782383419689,0.954723309111235,0.972371967654987,0.954004329004329,0.952896244430299,0.947659574468085,0.973262032085562,0.970394736842105,0.975396825396825,0,0.952597994530538,0.966428571428571,0.975699558173785,0.974343310934637,0.981563421828909,0.976319350473613,0.975694444444444,0.958896982310094,0.984164687252573,0.985714285714286,0.959294436906377,0.97037037037037,0.968972204266322,0.967485549132948,0.949717346027968,0.970705725699068,0.984113712374582,0.979457682826623,0.993480032599837,0.96242774566474,0.939204808136847,0.969985358711567,0.977126518942101,0.964983164983165,0.958385093167702,0.968944099378882,0.962273901808786,0.953626048347311,0.975029726516052,0.960142348754448,0.94361027694361,0.957324840764331,0.976988823142669,0.971005154639175,0.957228915662651,0.941952506596306,0.956687898089172,0.970664928292047,0.949319568277804,0.957772337821297,0.969086021505376,0.958095238095238,0.971308607417775,0.955778894472362,0.960677225559803,0.939670932358318,0.976478494623656,0.963494132985658,0.963290278721958,0.968130311614731,0.98714859437751,0.949579831932773,0.948739148408433,0.963559915907498,0.94593461860855,0.967983651226158,0.978939724037763,0.971260132645542,0.966343411294923,0.957377049180328,0.940008449514153,0.973013493253373,0.939902676399027,0.953133514986376,0.975806451612903,0.965242577842143,0.959927140255009,0.965827338129496,0.974569932685116,0.975280898876404,0.965137614678899,0.962769431743958,0.966799468791501,0.977409638554217,0.95561797752809
