ADAM17 AKT AKT_1 AKT_PIK3C AKT_SGK ALK ALK_2 ALK_IGFR AR AR_1 ATM ATR_1 ATR_2 ATR_3 ATR_4 Azacytidine BCL2 BCL2_2 BCL2_3 BCL2_BCL2L1 BCL2_BCL2L1_BCL2L2 BCL2L1 BIRC5 BRAF_2 BRAF_M BRAF_M2 BRAF_VEGFR2 Carboplatin CarboTaxol CD19 CHEK1 CHK1 Chloroquine Cisplatin CSNK2A1 CSNK2A1_2 Docetaxel Doxorubicin EG5 EGFR EGFR_2 ERBB ESR1 ESR1_1 ESR1_2 ESR1_3 FASN FGFR FGFR4 FNTA_FNTB FOLFIRI FOLFOX Gemcitabine gSEC HDAC_4 HDAC1_HDAC3 HSP90 IAP IAP_2 IGFR_2 IGFR_3 IGFR_4 IKBK JAK MAP2K MAP2K_1 MAP2K_3 MAP2K_RAF MET MET_2 MET_ALK MTOR MTOR_1 MTOR_2 MTOR_3 MTOR_4 MTOR_5 NAE Oxaliplatin PARP1 PARP1_2 PDGFR_Ab PI3KCD PIK3C PIK3C_2 PIK3C_MTOR PIK3C_MTOR_2 PIK3CA_2 PIK3CA_3 PIK3CA_4 PIK3CB PIK3CB_PIK3CD PIM1 PIP5K1 PRKC PRKDC_2 Proteasome Proteasome_2 PTK2 PTK2_2 SLC16A4 SN38 SRC SYK TKI TKI_2 TNF TNFSF10 TNKS_PARP6 TOP2 TOP2_2 Topotecan TTK TYMS VEGF Vinorelbine WEE1 WNT
22RV1 27.8520160127789 65.2538092243583 37.0239480840115 7.09332506887213 16.1373270251818 10.5323304599968 12.9620541411689 23.4427441242859 66.1072169674844 79.2032134682824 7.68642598363395 13.778094117215 14.8603579812742 5.67122170542483 23.9889679880977 10.0891435322545 49.3493305690042 14.2598402014825 8.60332968260808 30.933809184009 9.94176385607118 14.228407115125 8.41811260251556 3.97489753595097 10.8579129361505 28.2611505198378 17.2105041707284 13.9231230717814 17.8794937301146 6.81624168017548 10.1796209384614 7.19635139964514 18.3783090734557 16.1189737782574 9.71544780091351 10.3246574183859 23.7354193884326 11.2296394096567 18.5204470919818 19.3189596683439 11.4368155393431 83.3759733330676 15.2168622302308 12.9049636041697 7.06653209543504 11.7021705467906 21.4163267391543 70.115137336793 9.04238256069559 7.40370139484819 6.02184697491551 17.5353019594683 16.722588063834 7.14888188289666 19.4828969026093 8.07021292284683 14.4445049163055 32.6727594744231 19.5815133832658 16.8723981936138 23.0382763903231 24.3733606731955 8.31381337878946 66.1299370305197 7.97116596863419 30.296087723066 38.7161075293844 14.1374212614942 17.0698665532438 6.97365757227075 8.91020843253029 10.3135044696587 43.2993905811075 10.0693408397636 11.9815143267068 5.61104555525193 8.34166576524556 7.61992801565782 23.7943701150097 22.3124356148384 14.5037803340693 7.57622443344175 9.47092604260419 40.0954682278238 20.5997581204545 9.45710092655893 9.05951702262523 15.1650957737908 12.7379315024069 14.0020432962648 25.8318620776527 47.1638585754758 67.3397091950561 16.3806085537265 5.32364882098377 14.3117446065967 5.48172460578169 3.66384299225246 18.1237027067603 22.4825467784724 12.9074645377377 23.0471020388482 11.0868819316939 5.13685876606895 15.573026423095 7.13669869484671 27.8911104897966 20.1017742083055 16.0401462191412 9.49577201292986 11.2636858708328 14.0831390413838 6.39306487311424 12.2341735254882 15.6726315241965 18.6031109760077 7.84081535822913 20.7064038414271
647-V 35.6615889215702 48.0878084387831 45.9549675122891 9.93787079564787 29.7535590717735 10.8475812939903 8.68345433238077 27.726307838356 7.60125747830081 9.03603018988469 38.1261689743265 7.05815217985737 7.65054610752045 2.93456369314771 37.4929508486903 10.9517869028459 18.487456050586 14.4686225527417 9.49438440249843 49.1882407214049 10.4830594371314 11.1955533716488 9.26963348849952 5.50641023788827 9.28007465427772 16.0552843156689 10.4361367594516 15.5436247710721 22.2828900765493 9.8950998105186 47.2340945654342 8.51039893655663 12.3667986263268 40.0087868843423 18.033709493343 21.1483627611069 11.0205938464768 9.16747900716267 45.7661167785375 29.1992719584486 20.890123183193 43.8061790384104 29.9801523984997 12.4277666104346 8.78710736115845 11.6962265748144 28.6904844722004 42.6212967164146 4.91727647542068 7.66481158363689 6.35668783324187 6.66191369184703 46.9828734899333 8.8189859556046 42.87478134091 6.88050009468631 40.6374021316835 42.9355140151573 14.0095361720367 8.06437216317338 12.5038669303018 12.8474990472958 3.99468808915663 25.1140587100745 9.19230341390207 43.3411823049095 21.0551913071524 8.05236354485498 11.8752406259936 7.42806592935168 9.02539291464002 3.76438786290729 42.7946077782161 10.3458730881106 14.58870564101 8.73609351562475 8.43598476835536 8.47310570988429 10.043060893235 34.5664802445387 9.351737190326 11.7491363413934 10.0936022015993 44.893759071759 25.1634632805851 14.2143118523829 9.63537954013989 8.60059865707602 4.62408570800252 32.4894601203521 15.8158010827406 41.901993933903 44.1332203442733 25.050646302916 7.11200060777774 5.44075590897937 9.4559794925706 12.2164717222713 6.69920610277821 11.3537687370125 32.2988056102818 10.3367239998578 39.3170992053525 6.73743387649348 16.2179554333921 6.76324333010931 42.2419031413069 48.3878727130159 27.77970649977 3.36140932302705 11.6276259063042 11.0432933844281 5.52393367828572 5.80658570352698 4.85172472530879 12.9421292468253 8.65884291884988 12.1157287347448
A549 70.0455652973048 7.6000913693088 65.1522036012738 6.77301304070012 18.7220000295658 56.2829011591925 68.3232228551884 25.6067676919163 12.0146801926265 14.3777208691797 17.9983592563653 12.9647966920687 12.8479254226724 8.76912378038123 41.3614954240945 11.4314476788299 21.9153224758104 21.4299582053774 9.6371525770248 28.741783610906 10.4359348051134 17.8324614607193 6.92154138995082 8.79811061129481 22.2476725516798 19.7622619975012 16.8329591210749 39.2884003310495 34.3586788919675 9.9183918255437 49.1568049218663 7.78337583201592 14.8045148429439 21.091693025139 9.23007168009625 42.716950317342 68.1142001134842 67.8142379369594 19.6789938151216 24.0365441555183 28.9905229407061 99.9999385692653 23.4589493153392 9.7080917330454 6.06568642481312 9.28454959234284 21.7860587358578 36.2264733519965 11.9919453801001 7.19145786356495 10.7715679358235 13.9711554968095 41.5881088445673 10.6090844857937 16.8995566202492 4.65998309488668 17.1804215314229 34.8912832385024 11.6666794848952 51.7236194885551 11.40390191174 13.5891255199461 10.5642682051684 18.724087529205 7.57451353020595 58.2000793884515 82.5999755328623 12.1977861251885 13.9509151690851 10.6298170255139 7.69706674478094 11.9325146454865 35.9739467698693 13.1389252265225 13.446923786279 5.77961679729658 6.7650234853025 5.96120093029171 18.11348736518 7.96372809786792 45.1527131948103 11.2770635285888 5.00290638993427 33.3264122411351 29.3069389966857 18.2619364988291 8.83817134915177 17.8422621101748 48.0623423833893 23.9257383671901 25.0129380207454 29.0840757230149 24.4982610671898 23.7995354187503 8.02656006747187 17.2180309795865 9.1596803079622 12.6648009395138 16.1016261023035 10.7902272098139 24.714375479442 15.4747546019503 12.8615183198736 27.65606974512 7.93333040101363e-05 7.61310680032624 24.9056829329188 25.2824737058539 15.7859553096165 15.9500794095948 81.4078604685501 47.4291786709558 4.06698311870464 15.8852659740154 13.0861706699088 62.6719528766765 8.96560918290002 7.08698275293742
BFTC-905 23.7711821024285 34.2074245697537 33.7756955365054 5.17414050400767 22.6881444662151 6.124621016995 5.52550738819795 21.4120858979132 4.22841483293344 5.0244043828872 31.0805084685302 6.23882518721072 6.19591796681686 2.57400706421687 27.6709805844567 8.30477975643226 13.3091432296879 12.5643368114205 7.07187690683968 33.9668454361469 6.96398291829325 11.1756065340023 7.06533200834826 5.50648066938757 10.1450277843361 13.9059252793038 9.17844809266584 5.90829390592679 13.3681635612034 6.23001496768187 36.3906864814806 5.99713510528423 10.5588186949276 29.470964991378 14.7124490007763 15.1338688400513 5.23090796695089 6.83294963127148 35.6160106983201 22.5777899606205 16.2189972812436 27.9196871547024 21.9658376178262 10.5188837278727 5.00608475777752 8.52798285715859 21.9730825905811 32.2577497454775 4.78774323274484 7.3429387406954 6.29084045835365 5.42362621562142 27.261544193735 7.00773096039057 31.0011891291238 5.72440707101546 33.3755214200127 31.8571114161129 13.5900420953755 11.2568739023875 10.5405109016423 10.9657988506345 4.04635424739158 17.2940722697618 7.18378971273233 29.702812477184 14.3679017525465 6.99638485227569 9.00433344678114 6.63132251019716 5.32364110265403 3.71347780508323 37.3464935388033 7.73572991269863 10.2438786908811 5.46873203774748 6.95268540256563 5.9405298586632 8.36311585364523 30.411537314805 6.87045988466321 9.96362512880915 5.81342856347721 38.0536166949819 21.1515476314514 12.9480814111993 5.32382033802291 8.38490227671121 4.46218720189139 24.9016825733574 11.1036661774316 33.3378980859502 30.3571289654922 19.7778183784013 5.86849424234597 4.66770968838628 6.99049758046765 10.5572271322256 5.37422244341999 9.350421142611 23.952019945108 8.45889663661583 29.4998761279403 2.35301296042382 14.9280965864972 5.30006532397875 34.0810742342923 34.5869227224062 21.4153016377851 3.66410732212268 8.72224710564495 7.87372808444615 5.85688285516602 6.0323283463416 5.18323301328222 9.08825616720424 5.50447887436421 9.85911921561259
BT-20 39.9043055140511 59.0809712873378 57.1165481580104 19.7595371245132 55.4885250290202 5.27887554258716 3.78471868639981 59.8846903937585 9.44894484320663 11.2282047104952 24.7589933734088 13.7227528617288 10.4301359410191 6.29523617537034 41.2480241134878 19.4900536802242 14.6085718281007 36.4436739979703 19.1067422194084 57.2689930364218 23.8587674379511 32.3929655985166 18.2279712797816 16.1925195366796 16.8209229491445 62.5082182258435 22.5501784018317 0.000290349461680726 35.4740377614021 18.9456874288649 37.4283862834983 19.3627424018261 24.5745972109008 29.0937012574503 7.35915372016212 16.3430437667819 4.9274265383457 6.9451705557057 29.9467287259688 60.8921736358742 23.5296708062103 38.0784739538125 43.962723569338 24.9984864700558 16.8007646140194 27.0185147352848 49.0422221694985 50.5339532648395 6.49380197686016 18.8676347378801 5.57060804592485 8.4631518163443 30.1843308906109 18.5781929787235 40.397433878122 19.4631746291526 40.738231586314 15.4326311322691 0.000190271111790446 14.3050752577277 14.0377024906282 15.7563410582355 5.46038891180892 27.6053314112399 18.1808163220422 48.0432299230665 35.8403080719521 16.8801556353064 16.152194969122 17.2313742821344 18.9555127869726 8.40562810992676 51.1841003192989 16.2285385811034 25.149428342245 14.8323795434244 19.163063931205 18.6924558508553 15.6759069184736 60.5536359976795 14.4273208842928 19.9514575593837 20.4134004832207 57.6764081521358 42.1242131657696 26.0439020641428 20.6976921817537 12.7516013180657 11.1188843624352 51.8344933321625 17.9095440210018 58.462151700794 59.6125642785145 46.3927547915479 15.1534690309832 9.20903231570998 16.5723033275928 22.286875474472 9.43557764122705 16.596882607969 52.9255535110965 16.7718471828885 22.9934489625546 7.23821976959415 14.1633633498136 20.0461764457941 32.3375405863814 71.8808829189854 52.6356122924958 4.82206373584723 11.3743176259141 8.62439557816406 7.73603910312794 9.40632492938508 6.39371028559033 13.4400299376806 17.4955076330569 22.2019196016582
BT-474 31.3585297456092 45.5905814829497 49.1201787835823 64.146188677149 28.8627423455082 10.8094375767325 6.22653669218658 33.8058675659387 7.98748045764854 9.51246691810457 13.4348251540009 9.53997767149616 10.3434613318863 5.5848514439187 47.3710207989018 52.7268454873139 11.1580329596902 10.8050468292316 53.7582786839838 36.6810477593012 56.8458398627014 12.7792724398494 49.1936453135575 40.2693104260465 18.0813442571433 68.5197067368198 45.197676022675 61.956239273378 64.1919812114314 59.5382814843711 47.7760693658159 49.3673318757012 45.1884602985086 19.3634883200423 4.30359741985387 4.27818384049434 19.0206272561592 8.4381606465941 21.5211871823649 29.5630118639726 44.1258137309495 37.5271821738052 25.7994704866856 40.3649090994124 54.4811102551358 43.2706789945763 26.8463113557939 48.5267692560324 11.5357182977856 49.7494774074087 5.9526163865952 11.8416230055266 68.4766451252119 51.6171576286483 46.6560167989977 44.5489389802736 45.2868686115126 45.2095135875935 7.50295858089945 16.0368775485085 10.648505427193 15.2276897482631 10.1059874369795 49.7982565919807 50.0990289438667 43.4293079425783 42.5176417002641 57.7957793176318 44.8742879724314 52.964105118275 55.1017839016849 3.53811561051895 46.4495924194027 51.2516466441007 50.8404421429395 43.0037094505482 55.7912150950166 49.7654560652527 12.4285099818472 44.7630321048373 14.7727374304356 44.6828167615357 51.5672616641615 29.4305072242966 24.9583300768649 54.7249501483872 54.6630998366073 9.31320404099023 0.752519458026468 28.7917072869034 13.6562202719653 43.080669603808 33.5542807825867 26.8757730367236 46.2498680382883 9.2589837868598 57.1404290443558 51.870827617174 8.60256443935771 10.756977317619 33.6883014299694 12.3016547056013 18.2177530530369 15.1647285206086 44.2319971348506 49.3389295543083 19.1941559287624 33.366910892436 29.6686572992502 0.182632823685515 17.239178120258 9.15395670914027 6.25743276992533 5.13114318507706 10.6592574534247 17.7355330580019 55.0053793572471 24.1709140191244
BT-549 49.2670546540552 52.3896449063775 53.7476898462979 7.70392493531853 41.1725247130207 12.2959093180782 14.7084049506981 36.449662639102 5.7365446418098 6.81542664382479 19.5523301164673 8.11990469735273 6.38765164978955 2.10235738254253 41.8765427691151 13.8930731137896 14.5796316866261 22.7130496816028 12.1757408599822 59.7413161485719 13.532012946466 15.6331996609274 11.1316219754163 8.28694677967642 10.2695919124392 21.9673521447987 11.9388817730339 8.12372487163365 23.0283019092036 10.1844475671391 29.2891477607867 10.3124594510435 21.5116818296754 22.4987252462601 9.08538787478477 23.0779400444287 11.4553869381761 11.8466803515493 22.7039937667596 48.5186446150596 17.1855668705384 41.532854268935 49.7006883750014 20.7676151179252 9.1536860822887 16.3861876204262 53.2237059106912 51.9425699508381 5.22737246844295 10.432357595877 5.70193140188989 7.30163192140167 13.6555476606476 10.0568453370629 29.4957419570994 10.3857490034926 29.3144131997588 22.7939556483342 29.9358198288295 5.98065421261981 7.80082449468422 8.4784358279799 4.17183269352433 16.125202192037 11.8670895263236 57.3356675475213 26.646667824999 8.67411329712411 11.6490833811998 12.0256867211347 11.708914665707 4.75869931356174 52.2116691903936 12.4477176557496 14.295979318423 8.11459726614931 10.0447402331365 11.4229471424732 8.96130608948511 35.3407067818215 12.0533599034141 11.9161440371105 11.2203918805419 57.4135670228317 53.5726768456695 15.1499231396645 9.15490200288458 8.83650529259623 7.65807540221559 58.9817955429212 11.3607273131161 59.4819225010547 40.1995879355504 38.3893595664589 10.7344501341407 7.28568008359767 10.8057922681053 14.147362268314 6.97081254551725 9.67295499127195 51.32284998076 8.61903451381558 18.1436638706117 8.28782615980134 9.68615371445576 8.65147260254411 17.8775632736395 43.7075582431651 49.3752873236672 6.62324858170217 17.4466097715389 15.0865398784284 4.16438218881417 8.1137929568517 2.3563642886683 16.2760347413175 10.266791509849 14.7660037071613
C32 9.51751602079958 15.4360134963747 13.5292570813108 2.21813570543757 4.08735258652482 5.13857480329032 11.778398104118 3.10981946012774 1.91125951078631 2.1849604148001 5.77032162072267 10.3860583555798 10.1044809227922 1.25362862275243e-05 7.6845446487086 5.76427604721185 20.0143169460688 8.65533054745976 3.90612698527641 7.62641251164512 4.76726079235302 8.84539983057834 3.76508846735671 1.38071425472561 11.357720437829 4.31348850182148 6.79163778505693 3.33395716094539 9.20102066680629 2.3668669437321 6.80145632639963 2.7054162290418 8.55788583967353 1.91314684416945 25.6541081434783 5.72063133487782 6.69168835780478 8.29267414649057 1.48484671937375 4.59332128905793 2.48000522515228 4.8583891489887 5.91272582453987 3.16105874385721 2.39797752244262 3.42179312350571 7.16068901173508 10.2460739355823 6.56035692577665 3.91814263436002 11.0762576796231 10.3328061558771 8.72903806271584 3.05863283472503 7.15976098814856 3.69621108587339 9.48306440996504 22.1612107250873 3.01208266988888 14.0087224933066 12.3786031484451 15.4967137092506 3.67921824900673 9.86235006211759 4.01042873554626 24.7486898842896 5.56990636270498 2.28643664417998 7.20569184051431 3.63063132806542 5.2134021899858 0.000448604537223032 24.8730408648734 4.8254315324554 1.94095305038727 0.883737418128667 3.85033419142892 3.21539667131243 2.93830062951947 4.61943480919194 6.34999791488286 3.39215422405172 3.80760425221784 10.3655518203957 6.84390109010856 3.72426716909427 3.06240339411235 22.2911723700419 5.54053963705443 4.05042847073657 19.2857747171903 14.7601970623623 6.40594837238647 6.54698710506504 2.08226041677907 10.4642956545677 2.13312087936622 4.6814096297832 10.9918623465647 10.4992514652958 5.65732850585831 5.17423868784717 14.5381027874267 8.27843295198252 16.8135839556061 2.64962485743142 4.81873351065164 5.4990815310758 4.31358871217649 0.981078966921252 7.30771744953276 8.23610767853843 4.27009390767523 8.77313564587003 1.93660392063579 9.02826236450294 3.10150051741556 14.6879488506404
CAL-120 68.1772681857533 74.2195544392431 64.8564719445093 16.343794221376 46.6008853780322 19.9465630599529 21.2641107488746 69.6351084305563 13.3602848241268 15.8625366872789 26.6218512394951 23.833485945796 33.1351462148347 15.4927115174548 51.9676307746055 31.5272515202043 20.7475859259179 26.355448032833 25.0086467732924 64.4129368694217 29.4545390583832 31.8437641958899 21.9121570228219 15.9953876512726 19.9614475753828 49.6664497282779 21.9324426350406 28.248764356253 41.2143245277546 18.4159447345024 41.8882581580007 20.6633921925939 45.3341720552738 27.4782244111922 18.2726561239115 33.2564562747683 33.90010975184 15.5497042829967 28.2451813331548 63.2897061217167 36.2091236482952 60.5193603675338 60.7863645048119 29.2226939014669 20.4616580309516 31.5342688477352 62.4876288129501 51.4031591809785 44.5583794478688 25.8147890270967 15.0295076494673 21.687175574422 27.7320338186055 17.4806076014916 43.8070846158035 25.0739170662655 42.119372902721 65.3142134116026 42.2830422501777 36.8605917435825 16.7339388862449 19.9374503506008 39.8616579058724 42.9731879792441 24.0507195495188 68.783047192088 46.8788719533872 45.4538233372458 38.2074124246383 26.5150935512418 20.529680430842 14.5178950103163 65.6605476900411 23.4092090309582 45.4351943302466 13.5574087920975 23.42724941053 27.4010989717591 14.2389620607717 56.048096451008 25.5776965304284 23.7493824289183 23.700011543831 68.8750591781937 64.7854003101459 38.1926086581973 18.7942625562412 26.4781634218564 27.9121900903628 48.6637935971194 19.4872038407259 64.8103677961634 48.6324591312063 62.1962458358033 22.2414762332607 18.798188077613 20.3327728952984 27.8699926838104 19.3270663736181 25.5857238444771 62.376500745967 24.2680239198729 24.5351679680862 27.180159924926 23.8482141743709 19.7735232865705 6.50145475961347 11.9552021536079 61.7096452029351 11.6333438392803 23.9933987169668 20.8345626914687 5.42505656677383 17.7145880574347 43.9669280516024 35.3394426872056 22.0974689544761 39.4922236578769
CAL-148 48.5454573537987 54.1464238626239 54.0291126810693 5.1617814936982 48.9686224493307 12.1114852246593 17.5957758823892 36.8452873965934 6.94240123467102 8.22127541993771 18.5854487663251 6.51634600612866 3.6923998528435 1.60453164743645 43.4588312561782 5.16537314787336 18.739176306594 24.6400764602801 9.59446897586316 58.4457623253225 7.84770508788015 17.1170487671512 9.87385941442979 4.56797726197787 7.7692139053086 29.6506526417274 7.67085865607424 7.87519013176679 10.8170937985236 6.42047731282807 20.6982134809213 5.32608519072807 10.432765541381 19.4574372738334 10.9991702150134 31.5270317213282 -0.95609590455915 11.7970794092669 18.8860772093793 40.491971062759 15.9533362618927 36.9026445813413 47.5349949048363 17.1660802738992 8.84465531627095 10.3984969341273 48.5970119456517 54.5293635902035 1.78459476650402 8.78525721568917 7.50101289583681 11.1173372360597 11.4004742667454 5.15556409255279 25.7336196519609 8.12339809515469 23.3088550320237 99.9998056897642 99.9997961609591 10.9253216102852 3.57632289284543 4.948029336268 1.93566397157736 17.446917016113 10.810598969962 57.7689800351397 31.3286627230697 13.6662156344689 12.1806372345609 10.912855141589 11.0151066528311 10.8808291843717 52.8082806742225 11.8624081479354 11.886456671314 5.42543011198033 9.88493527342673 10.9691682487935 9.23598798925805 44.8435085913137 10.7551311005257 10.3878231463436 8.38814502065708 57.9300732907246 53.0243400256763 13.6923526029402 4.67634699010873 9.75393816562246 4.30253572531263 51.9883194466627 9.64444782013641 58.6580006860456 43.2553154620728 21.6797619805471 9.76036113270351 6.60758362971531 9.53122452820712 11.3789070099934 4.8492769973295 6.41203022679416 52.7708723403015 7.96881748572772 14.6526371093675 3.44271279961743 8.62513003834201 4.86979292392736 12.5776956364431 15.0554297295395 47.8190369982784 3.57845912953339 19.1341724752552 16.5491118357226 1.31937207300307 7.45593154588589 5.62063538960623 14.2299613350099 8.42425013690857 10.0740776952914
